CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
741630000,Margencel (commune non irisée),Z,74163,Margencel
741640101,Sud,H,74164,Marignier
741640102,Nord,H,74164,Marignier
741650000,Marigny-Saint-Marcel (commune non irisée),Z,74165,Marigny-Saint-Marcel
741660000,Marin (commune non irisée),Z,74166,Marin
741670000,Val de Chaise (commune non irisée),Z,74167,Val de Chaise
741680000,Marlioz (commune non irisée),Z,74168,Marlioz
741690000,Marnaz (commune non irisée),Z,74169,Marnaz
741700000,Massingy (commune non irisée),Z,74170,Massingy
741710000,Massongy (commune non irisée),Z,74171,Massongy
741720000,Maxilly-sur-Léman (commune non irisée),Z,74172,Maxilly-sur-Léman
741730000,Megève (commune non irisée),Z,74173,Megève
741740000,Mégevette (commune non irisée),Z,74174,Mégevette
741750000,Meillerie (commune non irisée),Z,74175,Meillerie
741760000,Menthon-Saint-Bernard (commune non irisée),Z,74176,Menthon-Saint-Bernard
741770000,Menthonnex-en-Bornes (commune non irisée),Z,74177,Menthonnex-en-Bornes
741780000,Menthonnex-sous-Clermont (commune non irisée),Z,74178,Menthonnex-sous-Clermont
741790000,Mésigny (commune non irisée),Z,74179,Mésigny
741800000,Messery (commune non irisée),Z,74180,Messery
741830000,Mieussy (commune non irisée),Z,74183,Mieussy
741840000,Minzier (commune non irisée),Z,74184,Minzier
741850000,Monnetier-Mornex (commune non irisée),Z,74185,Monnetier-Mornex
741860000,Montagny-les-Lanches (commune non irisée),Z,74186,Montagny-les-Lanches
741880000,Montriond (commune non irisée),Z,74188,Montriond
741890000,Mont-Saxonnex (commune non irisée),Z,74189,Mont-Saxonnex
741900000,Morillon (commune non irisée),Z,74190,Morillon
741910000,Morzine (commune non irisée),Z,74191,Morzine
741920000,Moye (commune non irisée),Z,74192,Moye
741930000,La Muraz (commune non irisée),Z,74193,La Muraz
741940000,Mûres (commune non irisée),Z,74194,Mûres
741950000,Musièges (commune non irisée),Z,74195,Musièges
741960000,Nancy-sur-Cluses (commune non irisée),Z,74196,Nancy-sur-Cluses
741970000,Nangy (commune non irisée),Z,74197,Nangy
741980000,Nâves-Parmelan (commune non irisée),Z,74198,Nâves-Parmelan
